knn: 0, perceptron: 0, svm: 0, pa: 0
knn: 0, perceptron: 0, svm: 0, pa: 0
knn: 1, perceptron: 1, svm: 0, pa: 0
knn: 0, perceptron: 0, svm: 0, pa: 0
knn: 0, perceptron: 0, svm: 0, pa: 0
knn: 2, perceptron: 2, svm: 0, pa: 0
knn: 1, perceptron: 1, svm: 0, pa: 0
knn: 2, perceptron: 2, svm: 0, pa: 0
knn: 1, perceptron: 1, svm: 0, pa: 0
knn: 0, perceptron: 0, svm: 0, pa: 0
knn: 2, perceptron: 2, svm: 0, pa: 0
knn: 0, perceptron: 0, svm: 0, pa: 0
knn: 1, perceptron: 1, svm: 0, pa: 0
knn: 2, perceptron: 2, svm: 0, pa: 0
knn: 2, perceptron: 2, svm: 0, pa: 0
knn: 0, perceptron: 0, svm: 0, pa: 0
knn: 2, perceptron: 2, svm: 0, pa: 0
knn: 2, perceptron: 2, svm: 0, pa: 0
knn: 0, perceptron: 0, svm: 0, pa: 0
knn: 0, perceptron: 0, svm: 0, pa: 0
knn: 1, perceptron: 1, svm: 0, pa: 0
knn: 2, perceptron: 2, svm: 0, pa: 0
knn: 1, perceptron: 1, svm: 0, pa: 0
knn: 1, perceptron: 1, svm: 0, pa: 0
knn: 0, perceptron: 0, svm: 0, pa: 0
knn: 1, perceptron: 1, svm: 0, pa: 0
knn: 2, perceptron: 2, svm: 0, pa: 0
knn: 1, perceptron: 1, svm: 0, pa: 0
knn: 2, perceptron: 2, svm: 0, pa: 0
knn: 0, perceptron: 0, svm: 0, pa: 0
knn: 0, perceptron: 0, svm: 0, pa: 0
knn: 1, perceptron: 1, svm: 0, pa: 0
knn: 0, perceptron: 0, svm: 0, pa: 0
knn: 1, perceptron: 1, svm: 0, pa: 0
knn: 2, perceptron: 2, svm: 0, pa: 0
knn: 1, perceptron: 1, svm: 0, pa: 0
knn: 2, perceptron: 2, svm: 0, pa: 0
knn: 1, perceptron: 1, svm: 0, pa: 0
knn: 2, perceptron: 2, svm: 0, pa: 0
knn: 2, perceptron: 2, svm: 0, pa: 0
knn: 1, perceptron: 0, svm: 0, pa: 0
knn: 1, perceptron: 1, svm: 0, pa: 0
knn: 2, perceptron: 2, svm: 0, pa: 0
knn: 0, perceptron: 0, svm: 0, pa: 0
knn: 2, perceptron: 2, svm: 0, pa: 0
knn: 2, perceptron: 2, svm: 0, pa: 0
knn: 0, perceptron: 0, svm: 0, pa: 0
knn: 1, perceptron: 1, svm: 0, pa: 0
knn: 2, perceptron: 2, svm: 0, pa: 0
knn: 2, perceptron: 2, svm: 0, pa: 0
knn: 1, perceptron: 1, svm: 0, pa: 0
knn: 1, perceptron: 1, svm: 0, pa: 0
knn: 2, perceptron: 2, svm: 0, pa: 0
knn: 2, perceptron: 2, svm: 0, pa: 0
knn: 1, perceptron: 0, svm: 0, pa: 0
knn: 0, perceptron: 0, svm: 0, pa: 0
knn: 2, perceptron: 2, svm: 0, pa: 0
knn: 1, perceptron: 0, svm: 0, pa: 0
knn: 0, perceptron: 0, svm: 0, pa: 0
knn: 1, perceptron: 0, svm: 0, pa: 0
